"","cod","year","muni.x","uf","voto","reg","metro","population","gdppc","real_gdp","homicide","metro.NA","muni.y"
"138",1101302,2010,"mirante da serra","RO",45.332,"Norte",NA,12446,7908.08291820665,159512.6,24.10412984,0,"Mirante da Serra"
"139",1101302,2014,"mirante da serra","RO",46.65,"Norte",NA,11686,11178.49,155507.18,34.22899196,0,"Mirante da Serra"
"140",1101302,2018,"mirante da serra","RO",37.85,"Norte",NA,12308,15618.12,173208.63,24.37439064,0,"Mirante da Serra"
"141",1101401,2006,"monte negro","RO",49.465,"Norte",NA,16874,4710.67915135712,171863.46,17.77883134,0,"Monte Negro"
"142",1101401,2010,"monte negro","RO",40.328,"Norte",NA,12710,8758.69394177813,180417.59,15.73564123,0,"Monte Negro"
"143",1101401,2014,"monte negro","RO",44.81,"Norte",NA,14313,12673.09,215930.61,69.86655488,0,"Monte Negro"
"144",1101401,2018,"monte negro","RO",27.6,"Norte",NA,16032,15120.74,218430.94,24.9500998,0,"Monte Negro"
"145",1101435,2006,"nova uniao","RO",54.579,"Norte",NA,9524,4334.10331793364,89248.44,31.49937001,0,"Nova Uniao"
"146",1101435,2010,"nova uniao","RO",51.352,"Norte",NA,7978,7309.10002506894,94504.37,12.53446979,0,"Nova Uniao"
"147",1101435,2014,"nova uniao","RO",49.88,"Norte",NA,7382,11516.34,101202.52,0,0,"Nova Uniao"
"148",1101435,2018,"nova uniao","RO",44.62,"Norte",NA,7796,13694.36,96197.88,12.82709082,0,"Nova Uniao"
"149",1101450,2006,"parecis","RO",52.217,"Norte",NA,3205,7137.59750390016,49460.9,62.4024961,0,"Parecis"
"150",1101450,2010,"parecis","RO",52.142,"Norte",NA,4696,8502.55536626917,64710.02,0,0,"Parecis"
"151",1101450,2014,"parecis","RO",55.17,"Norte",NA,4990,12326.17,73220.46,20.04008016,0,"Parecis"
"152",1101450,2018,"parecis","RO",41.21,"Norte",NA,5802,15750.2,82341.41,68.94174423,0,"Parecis"
"153",1101468,2006,"pimenteiras do oeste","RO",54.139,"Norte",NA,2633,8795.29054310672,50070.63,0,0,"Pimenteiras do Oeste"
"154",1101468,2010,"pimenteiras do oeste","RO",45.025,"Norte",NA,2427,15388.1334981459,60527.08,0,0,"Pimenteiras do Oeste"
"155",1101468,2014,"pimenteiras do oeste","RO",43.65,"Norte",NA,2283,35380.95,96156.32,0,0,"Pimenteiras do Oeste"
"156",1101468,2018,"pimenteiras do oeste","RO",33.57,"Norte",NA,2417,36938.42,80446.48,41.37360364,0,"Pimenteiras do Oeste"
"157",1101476,2006,"primavera de rondonia","RO",43.57,"Norte",NA,4393,5380.83314363761,51108.45,22.76348737,0,"Primavera de Rondonia"
"158",1101476,2010,"primavera de rondonia","RO",43.608,"Norte",NA,3819,8327.83451165227,51543.71,0,0,"Primavera de Rondonia"
"159",1101476,2014,"primavera de rondonia","RO",45.9,"Norte",NA,3406,12856.7,52128.57,29.35995302,0,"Primavera de Rondonia"
"160",1101476,2018,"primavera de rondonia","RO",27.1,"Norte",NA,3456,16977.61,52869.59,0,0,"Primavera de Rondonia"
"161",1101484,2014,"sao felipe d'oeste","RO",37.1,"Norte",NA,5862,11587.06,80857.02,0,0,"Sao Felipe D'Oeste"
"162",1101484,2018,"sao felipe d'oeste","RO",29.7,"Norte",NA,6048,14022.48,76416.95,16.53439153,0,"Sao Felipe D'Oeste"
"163",1101492,2006,"sao francisco do guapore","RO",42.702,"Norte",NA,17600,4925.17045454545,187419.99,45.45454545,0,"Sao Francisco do Guapore"
"164",1101492,2010,"sao francisco do guapore","RO",44.166,"Norte",NA,16091,8409.79429494749,219311.99,37.28792493,0,"Sao Francisco do Guapore"
"165",1101492,2014,"sao francisco do guapore","RO",55.38,"Norte",NA,16636,13408.8,265546.2,6.011060351,0,"Sao Francisco do Guapore"
"166",1101492,2018,"sao francisco do guapore","RO",32.79,"Norte",NA,19353,16479.25,287368.21,5.167157547,0,"Sao Francisco do Guapore"
"167",1101500,2006,"seringueiras","RO",50.852,"Norte",NA,16217,4197.57045076155,147180.57,18.49910588,0,"Seringueiras"
"168",1101500,2010,"seringueiras","RO",52.024,"Norte",NA,12088,7571.47584381205,148329.99,16.54533422,0,"Seringueiras"
"169",1101500,2014,"seringueiras","RO",50.6,"Norte",NA,11619,12215.32,168956.57,25.81977795,0,"Seringueiras"
"170",1101500,2018,"seringueiras","RO",37.02,"Norte",NA,12617,15858.71,180291.85,0,0,"Seringueiras"
"171",1101559,2006,"teixeiropolis","RO",42.115,"Norte",NA,5894,5164.23481506617,65810.94,0,0,"Teixeirópolis"
"172",1101559,2010,"teixeiropolis","RO",40.078,"Norte",NA,5070,8168.44181459566,67118.33,0,0,"Teixeirópolis"
"173",1101559,2014,"teixeiropolis","RO",47.01,"Norte",NA,4778,13243.44,75326.32,41.85851821,0,"Teixeirópolis"
"174",1101559,2018,"teixeiropolis","RO",35.5,"Norte",NA,4966,16651.03,74507.61,40.27386226,0,"Teixeirópolis"
"175",1101609,2006,"theobroma","RO",39.948,"Norte",NA,14320,4095.46089385475,126802.49,6.983240223,0,"Theobroma"
"176",1101609,2010,"theobroma","RO",41.162,"Norte",NA,10254,9024.77082114297,149976.59,19.50458358,0,"Theobroma"
"177",1101609,2014,"theobroma","RO",44.18,"Norte",NA,10575,11895.58,149750.3,0,0,"Theobroma"
"178",1101609,2018,"theobroma","RO",33.83,"Norte",NA,11348,14958,152948.33,44.06062742,0,"Theobroma"
"179",1101708,2006,"urupa","RO",43.958,"Norte",NA,17756,4269.20477585042,163898.17,28.15949538,0,"Urupa"
"180",1101708,2010,"urupa","RO",41.563,"Norte",NA,13785,7629.45230322815,170448.86,29.01704752,0,"Urupa"
"181",1101708,2014,"urupa","RO",50.51,"Norte",NA,12687,10153.01,153339.42,7.882084023,0,"Urupa"
"182",1101708,2018,"urupa","RO",33.98,"Norte",NA,13198,14893.19,177112.01,7.576905592,0,"Urupa"
"183",1101757,2006,"vale do anari","RO",34.513,"Norte",NA,10957,4129.23245413891,97823.45,0,0,"Vale do Anari"
"184",1101757,2010,"vale do anari","RO",41.727,"Norte",NA,8981,8845.34016256542,128745.84,44.5384701,0,"Vale do Anari"
